,States,Gun Check Totals,Result2017
0,Alabama,477345,R
1,Alaska,80839,R
2,Arizona,384930,R
3,Arkansas,237629,R
4,California,1570110,B
5,Colorado,496995,B
6,Connecticut,181779,B
7,Delaware,50639,B
8,District of Columbia,1540,B
9,Florida,1276549,R
10,Georgia,541655,R
11,Hawaii,12742,B
12,Idaho,182099,R
13,Illinois,1601087,B
14,Indiana,830357,R
15,Iowa,160981,R
16,Kansas,191451,R
17,Kentucky,4641480,R
18,Louisiana,329201,R
19,Maine,96590,B
20,Maryland,158659,B
21,Massachusetts,206492,B
22,Michigan,513243,R
23,Minnesota,683544,B
24,Mississippi,251852,R
25,Missouri,524973,R
26,Montana,123938,R
27,Nebraska,74318,R
28,Nevada,129622,B
29,New Hampshire,129090,B
30,New Jersey,103739,B
31,New Mexico,159779,B
32,New York,382495,B
33,North Carolina,537813,R
34,North Dakota,66977,R
35,Ohio,753072,R
36,Oklahoma,334351,R
37,Oregon,341167,B
38,Pennsylvania,1062651,R
39,Rhode Island,24677,B
40,South Carolina,396920,R
41,South Dakota,98573,R
42,Tennessee,767953,R
43,Texas,1549434,R
44,Utah,270477,R
45,Vermont,37610,B
46,Virginia,520827,B
47,Washington,579678,B
48,West Virginia,222768,R
49,Wisconsin,526523,R
50,Wyoming,54711,R
