,GUN LAW STRENGTH (RANKED),STATE,2016 GRADE,GRADE number
0,1,California,A,0
1,2,Connecticut,A-,0.5
2,3,New Jersey,A-,0.5
3,4,Massachusetts,A-,0.5
4,5,Maryland,A-,0.5
5,5,New York,A-,0.5
6,7,Hawaii,A-,0.5
7,8,Illinois,B+,1
8,9,Rhode Island,B+,1
9,10,Washington,B,1.5
10,11,Delaware,B,1.5
11,12,Minnesota,C+,2.5
12,13,Pennsylvania,C,3
13,14,Colorado,C,3
14,15,Oregon,C,3
15,16,Iowa,C,3
16,16,Michigan,C,3
17,18,Nevada,C-,3.5
18,19,Wisconsin,C-,3.5
19,20,Nebraska,D,4.5
20,21,Ohio,D,4.5
21,21,Virginia,D,4.5
22,23,New Hampshire,D,4.5
23,24,Indiana,D-,5
24,23,North Carolina,D-,5
25,26,Florida,F,5.5
26,27,Oklahoma,F,5.5
27,27,Tennessee,F,5.5
28,29,Georgia,F,5.5
29,29,New Mexico,F,5.5
30,29,North Dakota,F,5.5
31,29,South Carolina,F,5.5
32,29,Utah,F,5.5
33,34,Texas,F,5.5
34,34,West Virginia,F,5.5
35,36,Maine,F,5.5
36,37,Alabama,F,5.5
37,38,Arkansas,F,5.5
38,38,Montana,F,5.5
39,40,South Dakota,F,5.5
40,41,Vermont,F,5.5
41,42,Kentucky,F,5.5
42,43,Louisiana,F,5.5
43,44,Alaska,F,5.5
44,45,Wyoming,F,5.5
45,46,Idaho,F,5.5
46,47,Arizona,F,5.5
47,48,Kansas,F,5.5
48,48,Missouri,F,5.5
49,50,Mississippi,F,5.5
